,mean,std,count
uq_detection/20pct/0.3,0.22525714285714288,0.0197544621670701,5.0
uq_det_err_detected/20pct/0.3,0.37249587283028546,0.03020871403840913,5.0
uq_det_err_passed/20pct/0.3,0.2070827162031193,0.008032823226717814,5.0
adaptive_rob/0.3,0.7885428547859192,0.0053494180917254015,5.0
uq_joint_adv_acc/0.3,0.7885428547859192,0.0053494180917254015,5.0
adaptive_detection/1pct/0.3,0.0004571428571428572,0.00036977654587270814,5.0
uq_joint_detection/1pct/0.3,0.0004571428571428572,0.00036977654587270814,5.0
uq_joint_det_err_detected/1pct/0.3,0.6220238095238095,0.1092711889921775,4.0
uq_joint_det_err_passed/1pct/0.3,0.2112674217529002,0.005376081000188911,5.0
adaptive_detection/5pct/0.3,0.004885714285714286,0.0018024926052100005,5.0
uq_joint_detection/5pct/0.3,0.004885714285714286,0.0018024926052100005,5.0
uq_joint_det_err_detected/5pct/0.3,0.7537938053534758,0.10306028218446059,5.0
uq_joint_det_err_passed/5pct/0.3,0.2088725938797272,0.005576100967076725,5.0
adaptive_detection/10pct/0.3,0.012257142857142855,0.0025821206282386397,5.0
uq_joint_detection/10pct/0.3,0.012257142857142855,0.0025821206282386397,5.0
uq_joint_det_err_detected/10pct/0.3,0.6639107312440646,0.06950654211766663,5.0
uq_joint_det_err_passed/10pct/0.3,0.2059162722966028,0.005650953129386558,5.0
adaptive_detection/20pct/0.3,0.03605714285714286,0.005143452346509718,5.0
uq_joint_detection/20pct/0.3,0.03605714285714286,0.005143452346509718,5.0
uq_joint_det_err_detected/20pct/0.3,0.6188203050302488,0.0661761492780059,5.0
uq_joint_det_err_passed/20pct/0.3,0.19620107675042503,0.005805209541899978,5.0
uq_purify_acc/0.3/0.2,0.7490857124328614,0.0053999203767891805,5.0
uq_purify_recovery/0.3/0.2,0.08180933445692062,0.0041895576902563035,5.0
uq_joint_purify_acc/0.3/0.2,0.7811142921447753,0.004627334480675092,5.0
uq_joint_purify_recovery/0.3/0.2,0.05863527953624725,0.002635899402612039,5.0
adaptive_uq_purify_acc/0.3/0.2,0.7811142921447753,0.004627334480675092,5.0
uq_purify_acc/0.3/0.3,0.7483714342117309,0.0060748867904321675,5.0
uq_purify_recovery/0.3/0.3,0.11123605966567993,0.004499296502851907,5.0
uq_joint_purify_acc/0.3/0.3,0.7784857034683228,0.005096608557740691,5.0
uq_joint_purify_recovery/0.3/0.3,0.08313461542129516,0.005021560184018647,5.0
adaptive_uq_purify_acc/0.3/0.3,0.7784857034683228,0.005096608557740691,5.0
sgld_adv_acc/0.3,0.768400001525879,0.009208691114217958,5.0
sgld_joint_adv_acc/0.3,0.7984000086784363,0.007765314564957663,5.0
sgld_purify_acc/0.3/1,0.7682000041007996,0.009576014452055786,5.0
sgld_purify_recovery/0.3/1,0.0205779816955328,0.01317440630735345,5.0
sgld_purify_acc/0.3/3,0.7653999924659729,0.009633279407649756,5.0
sgld_purify_recovery/0.3/3,0.05061918497085571,0.018642500374786902,5.0
