,mean,std,count
uq_detection/5pct/0.1,0.09334285714285714,0.0024507391637992784,5.0
uq_det_err_detected/5pct/0.1,0.3355709052011398,0.007478672826234289,5.0
uq_det_err_passed/5pct/0.1,0.17861597173022092,0.0012380003315334614,5.0
uq_detection/10pct/0.1,0.1773142857142857,0.0032707734840055017,5.0
uq_det_err_detected/10pct/0.1,0.31457154610515276,0.004625174680242842,5.0
uq_det_err_passed/10pct/0.1,0.16711717362249115,0.0011661108199558315,5.0
uq_detection/20pct/0.1,0.31974285714285716,0.0016425465544919798,5.0
uq_det_err_detected/20pct/0.1,0.28513955675507935,0.001612491744655191,5.0
uq_det_err_passed/20pct/0.1,0.15006731249367802,0.0015916574040367778,5.0
adaptive_rob/0.1,0.9175714254379272,0.0012857119243117824,5.0
uq_joint_adv_acc/0.1,0.9175714254379272,0.0012857119243117824,5.0
adaptive_detection/1pct/0.1,0.0017714285714285714,7.82460796435952e-05,5.0
uq_joint_detection/1pct/0.1,0.0017714285714285714,7.82460796435952e-05,5.0
uq_joint_det_err_detected/1pct/0.1,0.5961538461538461,0.05715562339784297,5.0
uq_joint_det_err_passed/1pct/0.1,0.08151581942718217,0.0012369759836100764,5.0
adaptive_detection/5pct/0.1,0.013800000000000002,0.00019166296949998238,5.0
uq_joint_detection/5pct/0.1,0.013800000000000002,0.00019166296949998238,5.0
uq_joint_det_err_detected/5pct/0.1,0.4034447726459005,0.03390342969157438,5.0
uq_joint_det_err_passed/5pct/0.1,0.0779326782183281,0.0009397609972935822,5.0
adaptive_detection/10pct/0.1,0.030314285714285717,0.0006730982279651296,5.0
uq_joint_detection/10pct/0.1,0.030314285714285717,0.0006730982279651296,5.0
uq_joint_det_err_detected/10pct/0.1,0.4013776833495143,0.0182487952884424,5.0
uq_joint_det_err_passed/10pct/0.1,0.07245339652760836,0.0010626014879223911,5.0
adaptive_detection/20pct/0.1,0.08625714285714285,0.0028237332359405216,5.0
uq_joint_detection/20pct/0.1,0.08625714285714285,0.0028237332359405216,5.0
uq_joint_det_err_detected/20pct/0.1,0.29061099347212205,0.009753168992951986,5.0
uq_joint_det_err_passed/20pct/0.1,0.06278597804180726,0.001296993367267523,5.0
uq_purify_acc/0.1/0.2,0.7906285762786865,0.001896830429313825,5.0
uq_purify_recovery/0.1/0.2,0.1309857040643692,0.004261565382586431,5.0
uq_joint_purify_acc/0.1/0.2,0.9131428599357605,0.0015186023454508489,5.0
uq_joint_purify_recovery/0.1/0.2,0.005909398663789034,0.0020451784237944725,5.0
adaptive_uq_purify_acc/0.1/0.2,0.9131428599357605,0.0015186023454508489,5.0
uq_purify_acc/0.1/0.3,0.7880000114440918,0.0025793523194670084,5.0
uq_purify_recovery/0.1/0.3,0.13069104254245759,0.0032852439225541557,5.0
uq_joint_purify_acc/0.1/0.3,0.9122571349143982,0.001382825456172366,5.0
uq_joint_purify_recovery/0.1/0.3,0.008325433544814586,0.0022787107948562106,5.0
adaptive_uq_purify_acc/0.1/0.3,0.9122571349143982,0.001382825456172366,5.0
sgld_purify_acc/0.1/1,0.8044000029563904,0.004277858944903259,5.0
sgld_purify_recovery/0.1/1,0.06634717360138893,0.004303077851292915,5.0
sgld_purify_acc/0.1/3,0.7913999915122986,0.0028809835861511065,5.0
sgld_purify_recovery/0.1/3,0.09332800358533859,0.005675014445515782,5.0
sgld_purify_acc/0.1/5,0.7853999972343445,0.0035776910244635237,5.0
sgld_purify_recovery/0.1/5,0.1012316182255745,0.006736753619094428,5.0
sgld_joint_purify_acc/0.1/1,0.9260000109672546,0.0018708285022641358,5.0
sgld_joint_purify_recovery/0.1/1,0.0,0.0,5.0
adaptive_sgld_purify_acc/0.1/1,0.9260000109672546,0.0018708285022641358,5.0
sgld_joint_purify_acc/0.1/3,0.925,0.0014142164284529992,5.0
sgld_joint_purify_recovery/0.1/3,0.0,0.0,5.0
adaptive_sgld_purify_acc/0.1/3,0.925,0.0014142164284529992,5.0
sgld_joint_purify_acc/0.1/5,0.9246000051498413,0.0018165881519806712,5.0
sgld_joint_purify_recovery/0.1/5,0.0027027027681469917,0.006043427112553527,5.0
adaptive_sgld_purify_acc/0.1/5,0.9246000051498413,0.0018165881519806712,5.0
rob/0.2,0.4056000053882599,0.0043989855815644244,5.0
uq_adv_acc/0.2,0.4056000053882599,0.0043989855815644244,5.0
