max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.1,eval/test/rob/0.2,eval/test/rob/0.5,run_name,eval/test/genloss,eval/uq_clean_log_px_mean,eps_unit
16,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/22,2.0,1.0,6.357378799748403e-05,1.0,0.992,0.6595,0.3795,0.128,0.1685,0.2065,0.313,0.2085,0.2605,0.295,0.4285,0.0775,0.102,0.134,0.2175,0.9935,0.375,0.678,0.0558002936857562,0.4455,0.1063658340048348,0.992,0.6595,0.3795,22.0,1.1818773187696934,-1.1838523149490356,rel
16,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/23,2.0,1.0,0.0020247858574293,1.0,0.9765,0.661,0.3715,0.121,0.1645,0.212,0.386,0.233,0.3295,0.4085,0.509,0.08,0.1435,0.1945,0.2935,0.9805,0.5531914893617021,0.7535,0.2743362831858407,0.4655,0.152744630071599,0.9765,0.661,0.3715,23.0,1.03928061760962,-1.063438892364502,rel
16,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/24,2.0,1.0,7.941812896206102e-05,1.0,0.993,0.6985,0.344,0.1,0.1475,0.2155,0.2785,0.161,0.214,0.286,0.356,0.0875,0.109,0.149,0.204,0.991,0.1428571428571428,0.7045,0.0215588723051409,0.433,0.135670731707317,0.993,0.6985,0.344,24.0,1.2086188830435276,-1.210416316986084,rel
32,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/25,2.0,1.0,0.0001183257847969,1.0,0.9915,0.679,0.373,0.1135,0.155,0.245,0.3275,0.166,0.2155,0.275,0.36,0.082,0.11,0.132,0.2105,0.9935,0.2941176470588235,0.6965,0.0560747663551401,0.448,0.1196172248803827,0.9915,0.679,0.373,25.0,1.2580717727541924,-1.2604553699493408,rel
32,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/26,2.0,0.9995,0.0074316367390565,0.9995,0.9795,0.6095,0.3265,0.141,0.203,0.27,0.424,0.277,0.3885,0.4565,0.578,0.0585,0.112,0.1805,0.3585,0.97,0.7073170731707317,0.7105,0.3008962868117797,0.4325,0.1893095768374164,0.9795,0.6095,0.3265,26.0,1.05464200489223,-1.0560845136642456,rel
32,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/27,2.0,1.0,6.357378799748403e-05,1.0,0.9905,0.6645,0.3595,0.1185,0.1675,0.196,0.3115,0.206,0.26,0.3015,0.4325,0.0805,0.105,0.1375,0.2275,0.993,0.2631578947368421,0.6825,0.0581222056631892,0.4285,0.1077283372365339,0.9905,0.6645,0.3595,27.0,1.1818773187696934,-1.1838523149490356,rel
32,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/28,2.0,1.0,0.0020247858574293,1.0,0.9685,0.648,0.358,0.1275,0.178,0.225,0.3805,0.2425,0.3335,0.41,0.523,0.073,0.1335,0.1935,0.3,0.9825,0.5396825396825397,0.7455,0.2769886363636363,0.4545,0.1518691588785046,0.9685,0.648,0.358,28.0,1.03928061760962,-1.063438892364502,rel
32,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/29,2.0,1.0,7.941812896206102e-05,1.0,0.994,0.6925,0.342,0.108,0.1575,0.223,0.285,0.1695,0.222,0.29,0.3545,0.092,0.1125,0.158,0.2175,0.992,0.0833333333333333,0.6995,0.0276422764227642,0.436,0.1428571428571428,0.994,0.6925,0.342,29.0,1.2086188830435276,-1.210416316986084,rel
1,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/3,2.0,1.0,0.001973324417122,1.0,0.98,0.695,0.34,0.103,0.1515,0.2335,0.408,0.2495,0.3495,0.4465,0.549,0.0675,0.1225,0.1795,0.2795,0.9825,0.625,0.7835,0.2918032786885245,0.4385,0.1537878787878787,0.98,0.695,0.34,3.0,1.029824409633875,-1.0368467569351196,rel
64,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/30,2.0,1.0,0.0001183257847969,1.0,0.9885,0.666,0.38,0.1125,0.154,0.247,0.3215,0.1665,0.2205,0.2775,0.3745,0.0725,0.103,0.1355,0.2145,0.99,0.1739130434782608,0.683,0.0523952095808383,0.457,0.1241935483870967,0.9885,0.666,0.38,30.0,1.2580717727541924,-1.2604553699493408,rel
64,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/31,2.0,0.9995,0.0074316367390565,0.9995,0.979,0.616,0.337,0.1415,0.2065,0.2755,0.4305,0.266,0.373,0.448,0.578,0.047,0.11,0.1725,0.332,0.9705,0.7857142857142857,0.706,0.2903645833333333,0.4375,0.1862745098039215,0.979,0.616,0.337,31.0,1.05464200489223,-1.0560845136642456,rel
64,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/32,2.0,1.0,6.357378799748403e-05,1.0,0.992,0.672,0.389,0.124,0.164,0.1975,0.312,0.1865,0.2385,0.286,0.428,0.0845,0.1175,0.157,0.233,0.9945,0.4375,0.6865,0.0457317073170731,0.4545,0.1080196399345335,0.992,0.672,0.389,32.0,1.1818773187696934,-1.1838523149490356,rel
